channel,band,n_day,n_night,t_stat,p_value,power,mean_day,mean_night,HYP
58,Alpha,24,31,-2.8555430219299414,0.006632645675005135,0.725527598413567,0.10641588987784285,0.16716565783346812,True
12,Alpha,24,31,-2.4664050843724614,0.01720760459155104,0.6191332177691236,0.1102284933047483,0.16946264901298042,False
45,Alpha,24,31,-2.362427335073073,0.022626517689075802,0.5677280828995219,0.14803266773332152,0.21865739753429517,False
60,Beta,24,31,2.420107422476758,0.022802530555303707,0.7558016882787162,0.0914219898171923,0.05168119645606351,False
49,Alpha,24,31,-2.2825355935711475,0.027750763320566633,0.5302763019926308,0.1275566934137695,0.18437897000801912,False
46,Alpha,24,31,-2.2375926725058277,0.030192954061737994,0.5267192574607895,0.1317526293793906,0.19145270276330445,False
61,Alpha,24,31,-2.2108921373341976,0.03314120028774496,0.4980962730053846,0.11750895322422611,0.18005324990322272,False
36,Beta,24,31,2.1916585916412354,0.03574105085554598,0.6414017825744092,0.07773948490835314,0.053363624304288045,False
9,Beta,24,31,2.204402726100941,0.03663039544957812,0.6772821118397132,0.1783122604072034,0.07718215459131966,False
61,Tetta,24,31,-2.075403699193606,0.044919379564568006,0.4487238524879409,0.1569508390594799,0.22076035348241524,False
20,Alpha,24,31,-2.0440838289525036,0.04656895764679689,0.4611191184090404,0.14137152760769692,0.2011745766933938,False
10,Beta,24,31,2.015497975495998,0.053640162022048,0.5897503200772037,0.06846418155959606,0.04282197643611871,False
30,Alpha,24,31,-1.9970761623447653,0.053768089923666156,0.4156796547878941,0.17207475326428165,0.40135302321727956,False
18,Alpha,24,31,-1.9496209714675319,0.056867325830603645,0.4352975920842468,0.11262996781938484,0.1533058392454002,False
12,Tetta,24,31,-1.942259493240084,0.05804803962711363,0.42583050249123466,0.1136450151564848,0.14746281391319407,False
48,Alpha,24,31,-1.8829991055301847,0.06562857882644868,0.40928524042870057,0.19144668322705216,0.2607699963003329,False
39,Beta,24,31,1.8603571489508033,0.07168786081726772,0.5005894011999543,0.060579609972300906,0.04341661739301124,False
28,Beta,24,31,1.8481453616789323,0.07333215579877184,0.493424409078555,0.07778644405362423,0.05449388905929851,False
21,Beta,24,31,1.803455221162041,0.07946339467623788,0.4642567133168434,0.04362687925921027,0.032680587738006216,False
57,Alpha,24,31,-1.787321328053445,0.07983282485901888,0.38142147590210607,0.10091946510853693,0.12648163687527453,False
17,Beta,24,31,1.7812439211550617,0.0833771536087739,0.4592116763063039,0.10246519562509278,0.06962649997445078,False
47,Alpha,24,31,-1.7634610898145,0.08364651956638067,0.3802459353599229,0.17382917968625625,0.24011857615337734,False
33,Beta,24,31,1.7823570101423696,0.08443643702929488,0.47557272046796234,0.05136121976100969,0.03757908435992024,False
61,Beta,24,31,-1.7275014641779436,0.09254210764160163,0.33043662676733476,0.057273901025436676,0.09657424662274713,False
12,Beta,24,31,-1.719298961681667,0.0934057195695477,0.3328668105793314,0.035083444187579436,0.051340721131377914,False
24,Beta,24,31,1.6803597063780378,0.10607506376188107,0.46501645842889566,0.2119319325728676,0.08202526766282264,False
8,Alpha,24,31,-1.6527367103424322,0.1063659835378899,0.3114469528477498,0.1333022336497617,0.20549369729993347,False
29,Beta,24,31,1.6391348340772751,0.11110329416401296,0.4139192345773439,0.07621027040370693,0.05572789181301615,False
30,Delta,24,31,-1.637011844203994,0.1120612444576992,0.29207358440544695,0.7194514279196186,17.90697593377214,False
14,Beta,24,31,1.6415198490024903,0.11373030308157293,0.4458545156273432,0.11440938332499889,0.05681781299137175,False
19,Beta,24,31,1.6242064601760222,0.11664328146146076,0.4312939561049718,0.09751467119447373,0.055852093342250594,False
4,Alpha,24,31,-1.5725512107446904,0.12212673448891855,0.3057929137806316,0.12369856630858374,0.1561358799722514,False
30,Tetta,24,31,-1.5762186552542423,0.12537948214244388,0.2747270070369497,0.3070698906264656,2.6784562775079097,False
51,Beta,24,31,1.5536354500900453,0.12854655650746752,0.36105016950983765,0.118750036662764,0.0609018168575807,False
3,Alpha,24,31,-1.5093922940495466,0.13724716657863814,0.2917504513142681,0.14540778345628072,0.18957046128012753,False
25,Alpha,24,31,-1.4760871182339177,0.14594859486634282,0.28114648829754907,0.10661499003455592,0.13202008763577774,False
19,Alpha,24,31,-1.4648388221269915,0.14907947934390245,0.2749365907801166,0.16322862737862318,0.2043458096789669,False
44,Alpha,24,31,-1.4425525609402545,0.15580812925765603,0.25940177709084933,0.17758244102397214,0.22695675113037062,False
22,Beta,24,31,-1.4139948052934286,0.16533740225687465,0.2406765543114749,0.02436586236561117,0.032637323362774494,False
61,Delta,24,31,-1.4188915879354624,0.16539032821505378,0.2347160607037375,0.2507418704281594,0.3823324474278462,False
56,Tetta,24,31,-1.4042589776529377,0.16776690152039117,0.2406910281392321,0.10596569858980594,0.12907602250726158,False
17,Tetta,24,31,1.3809712939430205,0.17335464036826148,0.27079818715083526,0.2084454660392704,0.1781435606261478,False
53,Beta,24,31,1.3851977127696082,0.17567352753579982,0.31305755334142543,0.09514115077449059,0.06345392527394901,False
22,Tetta,24,31,-1.3601874321468705,0.18082099446198538,0.23131266823546506,0.0838836138711872,0.09928859313938239,False
11,Beta,24,31,1.35353532364273,0.18865337614059094,0.32552620695337836,0.06672228204502577,0.03210417405595992,False
27,Alpha,24,31,-1.3205691012114364,0.19245151840197663,0.23393184551510998,0.0873575679627599,0.1028465935112561,False
59,Beta,24,31,1.3187741141558156,0.19416463438626153,0.26546591487181187,0.13467836984025022,0.0979331600586082,False
0,Delta,24,31,-1.3246617168188515,0.19490981646161426,0.20895017535064322,0.899182514242459,4.790774556617273,False
37,Beta,24,31,1.3093450565841722,0.20002773123446255,0.2866744346938279,0.07464813306495016,0.051787697677706225,False
54,Beta,24,31,1.315101252724485,0.20037929027589438,0.3055393790006634,0.07258708140373647,0.04438927216068173,False
30,Beta,24,31,-1.2893820582003996,0.20593398723428696,0.20337546636416887,0.12968095254168435,0.23958594655585194,False
56,Alpha,24,31,-1.280535757925497,0.20601664165081215,0.22401044141440735,0.09162465784197711,0.11384718997172956,False
51,Tetta,24,31,1.2787750517522896,0.20902263591481882,0.26432170303268865,0.20087520184980678,0.14867933044976972,False
8,Tetta,24,31,-1.274633129505901,0.2101446295582798,0.20371251612746805,0.17030303508493283,0.22620302753200455,False
36,Alpha,24,31,-1.251385060639834,0.21677561338260543,0.2092599625471224,0.1075245923993381,0.13154670515690622,False
32,Beta,24,31,1.2537585474312465,0.21752741996057007,0.2529688308669037,0.10863117631506795,0.06691561017333596,False
56,Beta,24,31,-1.2498955727843588,0.218017351206969,0.20286873244227663,0.04770450101963181,0.06300441268262681,False
41,Tetta,24,31,-1.2311753948314477,0.22587779752137113,0.19277084723671623,0.09752745031370706,0.12559862346566944,False
44,Beta,24,31,1.2262432096104574,0.23058826647506672,0.26618508305707034,0.10784620310626969,0.0713308199844488,False
41,Delta,24,31,-1.2130893045848026,0.2338065739480677,0.1840230845636936,0.14894095312029018,0.2251122818734881,False
35,Beta,24,31,1.2022833925314391,0.23648223571972302,0.23516624216067683,0.14393051494862927,0.0962030320071733,False
48,Delta,24,31,-1.19661581100752,0.24065892857394983,0.1785104318652763,0.30464182488539543,0.6019523607169613,False
60,Tetta,24,31,1.1895567769540172,0.24222903919433386,0.23783571734973985,0.1565734069344571,0.12861074391889488,False
0,Tetta,24,31,-1.1838615483336845,0.24415994719639209,0.1805663829148968,0.28925440591330176,0.653998000186378,False
18,Tetta,24,31,-1.1510401905946994,0.255436004708711,0.18326546801838883,0.09715019609828267,0.11117369748411741,False
15,Beta,24,31,1.1428842898043587,0.26036397324249605,0.21959096981584897,0.11116622072597893,0.0824754717716146,False
62,Beta,24,31,1.1353557535409766,0.2636494387943614,0.21870604810868163,0.07784696039527629,0.06261747001690128,False
42,Alpha,24,31,-1.1217651266553845,0.2670472397499439,0.18430158782212205,0.1221669352787581,0.14705978034264966,False
40,Beta,24,31,1.119503653727029,0.27064019494411745,0.21662584581302416,0.15447965972529656,0.10378230491805486,False
23,Alpha,24,31,1.1025400881496121,0.2776292316856107,0.2100532091256649,0.12367961128422729,0.101087616870296,False
27,Tetta,24,31,-1.097626892342181,0.27912822579971136,0.1635864013683025,0.11968375654807047,0.1373001612592805,False
35,Delta,24,31,1.099781219910884,0.28100958747372284,0.2232147545130934,0.681843494962222,0.42623111823943244,False
13,Alpha,24,31,-1.0895628158884114,0.28109340304905184,0.17186143762628692,0.1363506526296724,0.16044764837398956,False
53,Alpha,24,31,-1.0823235561802476,0.28404618722542124,0.17439449165316007,0.11983120127973647,0.13887604739303996,False
50,Alpha,24,31,-1.0797734896744033,0.2865356989395107,0.19619752956404307,0.13581986219447453,0.16895459948955047,False
12,Delta,24,31,-1.0739019760645565,0.290663203792247,0.1545857878271307,0.21675661627854267,0.2984831073238633,False
40,Tetta,24,31,-1.0550096391497574,0.2974678882958056,0.15679533970154258,0.15401771332917927,0.185243914696344,False
59,Tetta,24,31,-1.0551268286888305,0.2996766523075211,0.14914015624533733,0.5455832890184128,3.39976200602309,False
28,Alpha,24,31,-1.044060598453389,0.3012331239178275,0.16550960163895612,0.10716926862173644,0.12193935858391379,False
