channel,band,n_day,n_night,t_stat,p_value,power,mean_day,mean_night,HYP
30,Tetta,24,31,-1.6880133847818533,0.10099898470819134,0.3113655662276177,0.00019107001548897303,0.0005351482424045005,False
4,Alpha,24,31,-1.6698848431465811,0.10121616960965828,0.33725944878307934,0.00010668809616622522,0.00013861405463525906,False
61,Beta,24,31,-1.6705676825278735,0.10328870714953098,0.3131231445937534,5.5709377332706914e-05,9.482273116226098e-05,False
19,Beta,24,31,1.6857521478549036,0.10382705073936484,0.4557246766256492,9.516341633539718e-05,4.881664525755035e-05,False
14,Beta,24,31,1.6757311614399364,0.1068541820691983,0.4616859344240949,0.00011368814326951791,5.067027606620103e-05,False
25,Alpha,24,31,-1.632921063503733,0.10855183428238596,0.3313059038416601,8.944435756614505e-05,0.00011586857198905427,False
8,Tetta,24,31,-1.642559690122939,0.10952352428799057,0.3010531621281719,0.00012291524547171625,0.00019592181246820228,False
57,Tetta,24,31,-1.6238540048972523,0.11088606898773207,0.318874880964356,0.00010415501018143953,0.00012275667531809665,False
51,Delta,24,31,1.6062173125964525,0.11684369087157538,0.3857633387412485,0.0002096761873609645,0.00014794407624473023,False
18,Tetta,24,31,-1.5884313915785813,0.11932319173682912,0.2993279636873179,7.897567060249471e-05,0.00010266057090342646,False
49,Beta,24,31,1.585610930826696,0.12118543898940883,0.3744734479624412,4.0560191209495785e-05,3.1802983457219054e-05,False
56,Tetta,24,31,-1.571712061490815,0.12406836804844952,0.2864433495584139,8.416839802920771e-05,0.00010788618783939235,False
51,Beta,24,31,1.5720762274695192,0.12425817784286648,0.36877779369355773,0.00011665100487294781,5.7901658050268824e-05,False
45,Tetta,24,31,-1.560660643797712,0.12603741509741603,0.28796838093346944,0.00011515643004498433,0.00014464723815937885,False
12,Beta,24,31,-1.5614816753643355,0.12663965442813005,0.28214872204792074,3.182452151398422e-05,4.67690145057615e-05,False
19,Alpha,24,31,-1.4528441826083451,0.1521686540164565,0.28331924102643563,0.000158880282896431,0.00020117883394856568,False
53,Beta,24,31,1.4647295957721551,0.15284573841442864,0.34341902772453825,9.475293668415791e-05,5.8941617044610825e-05,False
46,Tetta,24,31,-1.4000501567415613,0.16918411958882806,0.238441936514109,0.00010855524462472519,0.0001323177067413753,False
41,Tetta,24,31,-1.395315791358438,0.1709305598433576,0.23517291025915724,8.575492172230771e-05,0.00011770666840175883,False
11,Beta,24,31,1.3965521644610148,0.1754555588402406,0.34264101420810167,6.328080904659211e-05,2.894787157687772e-05,False
60,Delta,24,31,1.3788986437535626,0.17832254019852847,0.31671484681910894,0.00018152995874188573,0.00013596244298469062,False
59,Beta,24,31,1.3416526669966151,0.18654519075321505,0.2713330817562454,0.00013496953988694591,9.643257218200807e-05,False
32,Delta,24,31,1.3423548263362162,0.188611810484414,0.29376633946010255,0.00016956027461902706,0.0001271089664283578,False
54,Beta,24,31,1.348760029904038,0.18943806537749455,0.31836728873611975,7.358548014512141e-05,4.14143412182275e-05,False
44,Alpha,24,31,-1.3264369000438014,0.1905752625253562,0.23420434667268342,0.00017951245934208268,0.0002277137315613376,False
27,Tetta,24,31,-1.3025367059954958,0.20107495845968867,0.20816829026516304,9.398904018236369e-05,0.00011529004636109643,False
15,Beta,24,31,1.2959311257794779,0.2026809051906872,0.26631079093985516,0.00010569968129319018,7.453296857065868e-05,False
37,Beta,24,31,1.297931994108075,0.2040680627211155,0.2840516620311093,7.52573998033647e-05,5.040690483358209e-05,False
44,Beta,24,31,1.299736166078875,0.20480685318812944,0.2946283899627985,0.00010474834341904896,6.284530838124225e-05,False
36,Alpha,24,31,-1.280093825248888,0.20633499625688598,0.2202425709249879,9.816000009433208e-05,0.00012156522757111606,False
20,Tetta,24,31,-1.281979336757201,0.20764150943374785,0.20524345109825853,0.0001498715075424195,0.00021011178165449107,False
35,Beta,24,31,1.2805768621031388,0.20802705309446745,0.2616954052205216,0.00014873317302965282,9.566497992400022e-05,False
30,Beta,24,31,-1.2790728061008303,0.20941421837750765,0.20120789575888362,0.0001303770770933174,0.00023887848100244297,False
