channel,band,n_A,n_B,mean_A,mean_B,diff_A_minus_B,t_stat,p_value
12,Alpha,15,17,0.12933139882922645,0.19852067866944378,-0.06918927984021733,-1.805552131534314,0.08273455201633415
29,Alpha,15,17,0.11432310337762512,0.17335803709736392,-0.059034933719738794,-1.8137000394108371,0.0839190016703847
46,Alpha,15,17,0.15172772949768434,0.2366196856747906,-0.08489195617710626,-1.7721885202281158,0.08817935263984782
44,Tetta,15,17,0.1496814822571145,0.19217763417491726,-0.04249615191780276,-1.7613434242766781,0.0884551646204388
52,Beta,15,17,0.027917186257296375,0.038101513688752545,-0.01018432743145617,-1.7571442265624844,0.092554169933711
8,Alpha,15,17,0.1276568019496543,0.20221786358568514,-0.07456106163603082,-1.7564065181797752,0.09322241685477439
54,Beta,15,17,0.03863126464217665,0.06135894600901993,-0.022727681366843278,-1.7433333833540139,0.09562752471153013
18,Alpha,15,17,0.12249903903741921,0.20258691778317803,-0.08008787874575882,-1.7103385853145257,0.10251863080576619
46,Beta,15,17,0.04030895132334932,0.05074532946743884,-0.010436378144089521,-1.6797223662476197,0.10345040395302545
54,Tetta,15,17,0.08551291449971142,0.11021476208704527,-0.024701847587333847,-1.658798530484901,0.10765029229739631
57,Tetta,15,17,0.15793436964944244,0.21424842704118802,-0.05631405739174558,-1.663103063731396,0.10913431470598173
15,Tetta,15,17,0.16882893430098653,0.2703009202805053,-0.10147198597951876,-1.6791255115073356,0.11023316947910443
45,Beta,15,17,0.0520444184438222,0.06517292332707667,-0.013128504883254462,-1.6335141773596786,0.1128513181889759
4,Tetta,15,17,0.2004261523012131,0.25785506799483165,-0.05742891569361855,-1.6324341505225421,0.11309051664077968
15,Alpha,15,17,0.19486214521207976,0.3220306488239214,-0.12716850361184165,-1.6335073248818386,0.11724812527688086
39,Beta,15,17,0.039992822620219415,0.05623481647536702,-0.016241993855147602,-1.6160994447687336,0.11795083431551102
15,Beta,15,17,0.07707770341002043,0.1685511066841812,-0.09147340327416076,-1.6440128428299325,0.11799216220282821
36,Beta,15,17,0.05288089221225135,0.08090016966377822,-0.028019277451526874,-1.5973203875352457,0.12367215219689087
0,Alpha,15,17,0.13888809597267518,0.24298692629763896,-0.10409883032496378,-1.5963951160198933,0.12394309026352032
21,Tetta,15,17,0.07894192171238718,0.10124109096365982,-0.02229916925127265,-1.5765921790982067,0.12572002615605615
48,Alpha,15,17,0.2089707783467713,0.33880957941777734,-0.12983880107100604,-1.5793803538196325,0.1268287774287047
7,Beta,15,17,0.029740365786063996,0.038368851821660915,-0.008628486035596919,-1.5699547646241656,0.1269539685490521
14,Tetta,15,17,0.13478427746347965,0.16551027053586242,-0.030725993072382773,-1.5671267340132822,0.12763739144785166
11,Alpha,15,17,0.10297585727706077,0.15545917697595196,-0.052483319698891195,-1.5813148318328212,0.12777491342765784
37,Alpha,15,17,0.09761315247132665,0.14001228670258317,-0.04239913423125652,-1.5616537712777998,0.1311780035462961
27,Alpha,15,17,0.08786661897209429,0.1275287187248677,-0.03966209975277342,-1.5572502837565942,0.1324380893869511
33,Tetta,15,17,0.13469731583600006,0.1842513708162959,-0.04955405498029583,-1.521762427447986,0.138567999969302
